last_name,first_name,player_age,handedness,position,mode_amateur_acquisition,division,b_total_pa,b_home_run,b_hr_rate,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_gnd_into_dp,b_intent_walk,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,,,,
Villar,Jonathan,30,S,3B,IFA,NLE,505,18,3.564356436,26.1,9.1,0.249,0.416,0.321,0.737,0.167,42,207,6,2,0,0.235,0.388,0.32,0.307,0.31,0.153,88,7,29.9,7.4,5.6,34.9,74.7,22.2,27.9,48.8,30.1,38,33.6,28.4,49.1,23.5,21.9,,,,
Aguilar,Jesus,31,R,1B,IFA,NLE,510,22,4.31372549,18.2,9,0.261,0.459,0.325,0.784,0.198,93,184,11,4,7,0.26,0.453,0.334,0.334,0.329,0.193,89.6,19,34.7,8.5,5.5,41,63.8,17.1,27.3,44.9,25.9,41.3,37.5,21.2,33.3,31.7,26.7,,,,
Crawford,Brandon,34,L,SS,C,NLW,549,24,4.371584699,19.1,10.2,0.298,0.522,0.373,0.895,0.224,90,213,8,6,5,0.259,0.492,0.377,0.356,0.341,0.233,88.8,14.7,35.8,11.5,8.4,43.3,77.6,20.3,27.9,52.3,29.3,33.2,39.2,27.7,40.5,28.7,23,,,,
Cron,C.J.,31,R,1B,C,NLW,547,28,5.118829982,21.4,11,0.281,0.53,0.375,0.905,0.249,92,193,11,3,4,0.261,0.481,0.383,0.364,0.36,0.22,88.8,15.8,31.9,11.5,5,42,66.2,19.2,30.9,42.3,27.4,38.9,35.6,25.5,38.7,32.5,21.3,,,,
Grossman,Robbie,32,S,LF,HS,ALC,671,23,3.427719821,23.1,14.6,0.239,0.415,0.356,0.771,0.176,67,194,8,3,6,0.234,0.399,0.337,0.334,0.355,0.165,87.8,21.1,39.5,7.6,8.3,34.1,63.4,16,15.6,42.6,21.6,43.9,30.7,25.4,30,35.9,26.8,,,,
Harrison,Josh,34,R,2B,C,NLE,558,8,1.433691756,13.4,5.6,0.279,0.4,0.341,0.741,0.121,60,215,9,0,3,0.278,0.42,0.325,0.333,0.34,0.142,87.2,14.5,39.5,4.4,7.4,32.6,75.1,15,35.5,26.9,18.8,37,40,23.1,40.2,27.3,27.3,,,,
Hosmer,Eric,32,L,1B,HS,NLW,565,12,2.123893805,17.5,8.5,0.269,0.395,0.336,0.731,0.126,65,220,13,2,2,0.268,0.407,0.319,0.327,0.337,0.139,90.5,3.3,26.6,5.8,6.1,47,67,14.5,31.8,38.5,22.9,26.4,42.9,30.8,56.2,14.8,23.2,,,,
Semien,Marcus,31,R,2B,C,ALE,724,45,6.215469613,20.2,9.1,0.265,0.538,0.334,0.873,0.273,102,249,9,0,3,0.245,0.455,0.368,0.333,0.317,0.21,89.7,20.3,35.2,9.8,8.3,41.3,69.7,14.4,21.2,44.4,21.5,47,33.6,19.4,31,36.7,23.2,,,,
Grichuk,Randal,30,R,RF,HS,ALE,545,22,4.036697248,20.9,5,0.241,0.423,0.281,0.703,0.182,81,239,17,0,4,0.235,0.405,0.3,0.298,0.278,0.17,89.8,16.1,30.4,8.5,6.2,41.1,73.7,13,32.4,44.8,23.2,36.4,37.4,26.2,39.7,29.4,20,,,,
Harper,Bryce,29,L,RF,JC,NLE,599,35,5.843071786,22.4,16.7,0.309,0.615,0.427,1.042,0.305,84,158,12,14,4,0.301,0.61,0.431,0.43,0.424,0.309,92.5,13.3,38.9,18.1,8.3,49.7,75.4,24.6,24.7,50.3,31.9,36.1,35.6,28.3,41.9,26.4,27.2,,,,
